NOME_CURSO,ID_CURSO
PG-E em Ensino de Filosofia no Ensino Médio/EAD/Cruz Alta/RS,1680
PG-E em Ensino de Filosofia no Ensino Médio/EAD/Esteio/RS,2444
PG-E em Ensino de Filosofia no Ensino Médio/EAD/Novo Hamburgo/RS,1812
PG-E em Ensino de Filosofia no Ensino Médio/EAD/Santana do Livramento/RS,1811
PG-E em Ensino de Filosofia no Ensino Médio/EAD/Sapiranga/RS,2445
PG-E Residência Multiprofissional Integrada em Sistema Público de Saúde,1231
PG-Lato Sensu Gestão Pública/Distância/Agudo/RS,2384
PG-Lato Sensu Gestão Pública/Distância/Candelária/RS,2385
PG-Lato Sensu Gestão Pública/Distância/Panambi/RS,1319
PG-Lato Sensu Gestão Pública/Distância/Picada Café/RS,1317
PG-Lato Sensu Gestão Pública/Distância/Santiago/RS,2386
PG-M Educação em Ciências: Química da Vida e Saúde,1130
PG-M em Enfermagem,1056
PG-Mestrado Profissional em Ciências da Saúde,1408
Pós-Graduação em Ciência da Computação - Mestrado Acadêmico,1058
Pós-Graduação em Engenharia Mecânica - Mestrado Acadêmico,2128
Programa de Pós-Doutorado da UFSM,1004
Programa Especial de Graduação de Formação de Professores para a Educação Profissional,1255
Programa PG Filosofia - Doutorado,1404
Psicologia,798
Química - Bacharelado,1007
Química - Licenciatura,848
Química Industrial,849
Relações Internacionais,1249
Relações Públicas Bacharelado - CAMPUS UFSM-FW,1837
Residência em Área Profissional da Saúde - Medicina Veterinária,1900
Residência Médica,1899
Serviço Social - Bacharelado (Noturno),1329
Sistemas de Informação - CAMPUS UFSM-FW,1339
Técnico Agrícola Habilitação Agropecuária -Turno Manhã-Pós-Médio,1630
Técnico Agrícola Habilitação Agropecuária-Turno Tarde-Pós-Médio,1632
Técnico em Administração - Pós-Médio,1146
Técnico em Agricultura,1902
Técnico em Agricultura de Precisão,2144
Técnico em Alimentos,1786
Técnico em Comércio,2364
Técnico em Contabilidade,1396
Técnico em Cuidados de Idosos,1898
Técnico em Enfermagem,1901
Técnico em Farmácia,1849
Técnico em Geoprocessamento,1197
Técnico em Informática-Turno Noite-Pós-Médio,1634
Técnico em Informática-Turno Tarde-Pós-Médio,1633
Técnico em Meio Ambiente,1397
Técnico em Paisagismo,1241
Técnico em Secretariado,1629
Técnico em Zootecnia,1850
Técnico Subsequente em Eletrônica,1346
Técnico Subsequente em Eletrotécnica - Noturno,1384
Terapia Ocupacional,1251
Zootecnia,711
